,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,ID 40210688,realtor,https://www.cian.ru/rent/flat/307745767/,Москва,rent,flat,5,5,2,42.6,55000,0,Головинский,Онежская ,41,Моссельмаш,
1,Оксана Штукатурова,realtor,https://www.cian.ru/rent/flat/307674639/,Москва,rent,flat,11,17,2,47.7,68000,0,Ховрино,Флотская ,17К2,Моссельмаш,
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307654629/,Москва,rent,flat,9,24,2,65.0,110000,0,Ховрино,Клинская ,2Ак7,Моссельмаш,
3,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307652775/,Москва,rent,flat,2,15,2,53.0,55000,0,Западное Дегунино,Дегунинская ,20к1,Моссельмаш,
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307538143/,Москва,rent,flat,3,23,2,62.0,100000,0,Бескудниковский,Бескудниковский бульвар,52к1,Моссельмаш,
5,Елена Сударева,realtor,https://www.cian.ru/rent/flat/307509988/,Москва,rent,flat,5,12,2,45.0,70000,0,Западное Дегунино,Дегунинская ,15,Моссельмаш,
6,Алла Киха,realtor,https://www.cian.ru/rent/flat/307244677/,Москва,rent,flat,10,12,2,43.7,60000,0,Западное Дегунино,Талдомская ,15,Моссельмаш,
7,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307200715/,Москва,rent,flat,24,38,2,53.0,115500,0,Западное Дегунино,Ильменский проезд,14к8,Моссельмаш,
8,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/307142685/,Москва,rent,flat,5,14,2,54.0,60000,0,Головинский,Зеленоградская ,3,Моссельмаш,
9,Дом+,real_estate_agent,https://www.cian.ru/rent/flat/306778694/,Москва,rent,flat,22,39,2,51.0,90000,0,Западное Дегунино,Ильменский проезд,14к8,Моссельмаш,
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306612506/,Москва,rent,flat,22,31,2,64.0,130000,0,Ховрино,Клинская ,2Ак7,Моссельмаш,
11,ID 55207823,unknown,https://www.cian.ru/rent/flat/284989252/,Москва,rent,flat,12,39,2,55.0,100000,0,Западное Дегунино,Ильменский проезд,14к3,Моссельмаш,
12,ID 31593,unknown,https://www.cian.ru/rent/flat/274851306/,Москва,rent,flat,12,14,2,51.0,75000,0,Головинский,Онежская ,18К1,Моссельмаш,
13,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
14,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
15,Михаил Акуленко,realtor,https://www.cian.ru/rent/flat/290723730/,Москва,rent,flat,9,17,2,58.7,55000,0,Левобережный,Ленинградское шоссе,128,Беломорская,
16,ID 23945235,homeowner,https://www.cian.ru/rent/flat/301087690/,Москва,rent,flat,3,9,2,44.0,70000,0,Восточное Дегунино, 800-летия Москвы,11К7,Бескудниково,
17,Салют,real_estate_agent,https://www.cian.ru/rent/flat/223279610/,Москва,rent,flat,9,9,2,35.0,50000,0,Дмитровский,Карельский бульвар,6К1,Лианозово,
18,ID 9799222,realtor,https://www.cian.ru/rent/flat/307661967/,Москва,rent,flat,4,9,1,40.0,45000,0,Восточное Дегунино, 800-летия Москвы,7К1,Бескудниково,
19,ID 13004974,homeowner,https://www.cian.ru/rent/flat/294183778/,Москва,rent,flat,7,24,1,41.0,65000,0,Ховрино,Зеленоградская ,19К1,Ховрино,
20,ID 8876,realtor,https://www.cian.ru/rent/flat/216612555/,Москва,rent,flat,5,14,2,44.0,50000,0,Дмитровский,Яхромская ,3К3,Яхромская,
21,ID 261739,real_estate_agent,https://www.cian.ru/rent/flat/307563842/,Москва,rent,flat,12,12,2,43.0,50000,0,Лианозово,Новгородская ,3К1,Алтуфьево,
22,ID 49202282,unknown,https://www.cian.ru/rent/flat/307630741/,Москва,rent,flat,38,39,1,26.6,60000,0,Западное Дегунино,Ильменский проезд,14к3,Моссельмаш,
23,Иван Музалевский,realtor,https://www.cian.ru/rent/flat/302123949/,Москва,rent,flat,3,5,2,40.9,62000,0,Коптево, Приорова,22,Красный Балтиец,
24,ID 597,realtor,https://www.cian.ru/rent/flat/294372255/,Москва,rent,flat,5,5,2,46.0,55000,0,Левобережный,Ленинградское шоссе,98К3,Речной вокзал,
